Punktnummer,Ost,Nord,Höhe,Hz-Winkel,V-Winkel,Schrägdistanz,Horizontaldistanz,Code & Punkt Info,Zeitstempel
3_TS091413214786,2601405.5961,1144078.3820,1113.6250,111.2086 g,84.4486 g,140.2494,136.0849,,14.09.2022 13:21:48
3_TS091413214709,2601405.6041,1144078.3806,1113.6272,111.2086 g,84.4485 g,140.2579,136.0931,,14.09.2022 13:21:47
3_TS091413214633,2601405.6113,1144078.3793,1113.6289,111.2086 g,84.4486 g,140.2654,136.1005,,14.09.2022 13:21:46
3_TS091413214609,2601405.6071,1144078.3800,1113.6281,111.2087 g,84.4484 g,140.2610,136.0961,,14.09.2022 13:21:46
3_TS091413214407,2601405.5972,1144078.3817,1113.6255,111.2087 g,84.4485 g,140.2507,136.0861,,14.09.2022 13:21:44
3_TS091413214333,2601405.5978,1144078.3816,1113.6259,111.2087 g,84.4484 g,140.2513,136.0867,,14.09.2022 13:21:43
3_TS091413214282,2601405.5940,1144078.3823,1113.6250,111.2087 g,84.4483 g,140.2474,136.0829,,14.09.2022 13:21:43
3_TS091413214195,2601405.6010,1144078.3811,1113.6268,111.2087 g,84.4483 g,140.2547,136.0900,,14.09.2022 13:21:42
3_TS091413214076,2601405.6101,1144078.3794,1113.6292,111.2087 g,84.4483 g,140.2643,136.0993,,14.09.2022 13:21:41
3_TS091413214014,2601405.6144,1144078.3786,1113.6303,111.2087 g,84.4483 g,140.2688,136.1036,,14.09.2022 13:21:40
3_TS091413213934,2601405.6075,1144078.3798,1113.6286,111.2087 g,84.4483 g,140.2616,136.0966,,14.09.2022 13:21:39
3_TS091413213849,2601405.6005,1144078.3811,1113.6269,111.2087 g,84.4482 g,140.2543,136.0895,,14.09.2022 13:21:38
3_TS091413213770,2601405.5897,1144078.3830,1113.6241,111.2087 g,84.4483 g,140.2429,136.0785,,14.09.2022 13:21:38
3_TS091413213711,2601405.5861,1144078.3836,1113.6232,111.2087 g,84.4483 g,140.2392,136.0749,,14.09.2022 13:21:37
3_TS091413213639,2601405.5899,1144078.3830,1113.6242,111.2087 g,84.4482 g,140.2431,136.0787,,14.09.2022 13:21:36
3_TS091413213546,2601405.5974,1144078.3816,1113.6260,111.2087 g,84.4483 g,140.2510,136.0863,,14.09.2022 13:21:35
3_TS091413213477,2601405.6095,1144078.3795,1113.6291,111.2087 g,84.4483 g,140.2637,136.0987,,14.09.2022 13:21:35
3_TS091413213394,2601405.6052,1144078.3802,1113.6279,111.2087 g,84.4483 g,140.2591,136.0942,,14.09.2022 13:21:34
3_TS091413213328,2601405.6023,1144078.3807,1113.6272,111.2087 g,84.4483 g,140.2561,136.0913,,14.09.2022 13:21:33
3_TS091413213246,2601405.5933,1144078.3823,1113.6249,111.2087 g,84.4483 g,140.2467,136.0822,,14.09.2022 13:21:32
3_TS091413213171,2601405.5901,1144078.3829,1113.6242,111.2087 g,84.4483 g,140.2433,136.0789,,14.09.2022 13:21:32
3_TS091413213103,2601405.5889,1144078.3831,1113.6239,111.2087 g,84.4482 g,140.2421,136.0777,,14.09.2022 13:21:31
3_TS091413213023,2601405.5883,1144078.3833,1113.6237,111.2087 g,84.4483 g,140.2414,136.0770,,14.09.2022 13:21:30
3_TS091413212997,2601405.5970,1144078.3817,1113.6259,111.2087 g,84.4483 g,140.2506,136.0859,,14.09.2022 13:21:30
3_TS091413212831,2601405.6046,1144078.3804,1113.6277,111.2087 g,84.4483 g,140.2585,136.0936,,14.09.2022 13:21:28
3_TS091413212761,2601405.6019,1144078.3809,1113.6270,111.2086 g,84.4483 g,140.2556,136.0908,,14.09.2022 13:21:28
3_TS091413212688,2601405.5872,1144078.3835,1113.6232,111.2087 g,84.4483 g,140.2402,136.0759,,14.09.2022 13:21:27
3_TS091413212615,2601405.5856,1144078.3838,1113.6228,111.2086 g,84.4484 g,140.2386,136.0744,,14.09.2022 13:21:26
3_TS091413212545,2601405.5834,1144078.3842,1113.6223,111.2086 g,84.4483 g,140.2363,136.0721,,14.09.2022 13:21:25
3_TS091413212471,2601405.5813,1144078.3846,1113.6219,111.2087 g,84.4483 g,140.2341,136.0699,,14.09.2022 13:21:25
3_TS091413212394,2601405.5887,1144078.3833,1113.6237,111.2086 g,84.4483 g,140.2418,136.0774,,14.09.2022 13:21:24
3_TS091413212330,2601405.5932,1144078.3824,1113.6249,111.2087 g,84.4483 g,140.2466,136.0821,,14.09.2022 13:21:23
3_TS091413212249,2601405.5961,1144078.3819,1113.6256,111.2087 g,84.4483 g,140.2496,136.0850,,14.09.2022 13:21:22
3_TS091413212171,2601405.5844,1144078.3840,1113.6227,111.2087 g,84.4483 g,140.2374,136.0731,,14.09.2022 13:21:22
3_TS091413212101,2601405.5797,1144078.3848,1113.6215,111.2087 g,84.4483 g,140.2324,136.0683,,14.09.2022 13:21:21
3_TS091413212035,2601405.5751,1144078.3856,1113.6204,111.2087 g,84.4483 g,140.2277,136.0637,,14.09.2022 13:21:20
3_TS091413211951,2601405.5761,1144078.3854,1113.6206,111.2087 g,84.4483 g,140.2287,136.0647,,14.09.2022 13:21:20
3_TS091413211886,2601405.5794,1144078.3849,1113.6213,111.2087 g,84.4483 g,140.2321,136.0680,,14.09.2022 13:21:19
3_TS091413211822,2601405.5782,1144078.3851,1113.6210,111.2087 g,84.4483 g,140.2309,136.0669,,14.09.2022 13:21:18
3_TS091413211726,2601405.5847,1144078.3839,1113.6227,111.2087 g,84.4483 g,140.2377,136.0734,,14.09.2022 13:21:17
3_TS091413211615,2601405.5897,1144078.3830,1113.6239,111.2087 g,84.4483 g,140.2429,136.0785,,14.09.2022 13:21:16
3_TS091413211542,2601405.5797,1144078.3848,1113.6213,111.2087 g,84.4484 g,140.2324,136.0683,,14.09.2022 13:21:15
3_TS091413211474,2601405.5710,1144078.3863,1113.6192,111.2087 g,84.4483 g,140.2233,136.0595,,14.09.2022 13:21:15
3_TS091413211404,2601405.5613,1144078.3880,1113.6167,111.2087 g,84.4483 g,140.2132,136.0497,,14.09.2022 13:21:14
3_TS091413211368,2601405.5570,1144078.3888,1113.6157,111.2087 g,84.4483 g,140.2087,136.0453,,14.09.2022 13:21:14
3_TS091413211207,2601405.5748,1144078.3857,1113.6202,111.2087 g,84.4483 g,140.2273,136.0634,,14.09.2022 13:21:12
3_TS091413211140,2601405.5761,1144078.3854,1113.6205,111.2087 g,84.4483 g,140.2287,136.0647,,14.09.2022 13:21:11
3_TS091413211042,2601405.5792,1144078.3849,1113.6213,111.2087 g,84.4483 g,140.2319,136.0678,,14.09.2022 13:21:10
3_TS091413210964,2601405.5705,1144078.3865,1113.6192,111.2087 g,84.4483 g,140.2228,136.0590,,14.09.2022 13:21:10
3_TS091413210891,2601405.5700,1144078.3865,1113.6191,111.2087 g,84.4482 g,140.2223,136.0585,,14.09.2022 13:21:09
3_TS091413210826,2601405.5629,1144078.3878,1113.6172,111.2087 g,84.4483 g,140.2148,136.0512,,14.09.2022 13:21:08
3_TS091413210749,2601405.5672,1144078.3871,1113.6181,111.2086 g,84.4484 g,140.2193,136.0556,,14.09.2022 13:21:07
3_TS091413210676,2601405.5638,1144078.3877,1113.6173,111.2087 g,84.4484 g,140.2158,136.0522,,14.09.2022 13:21:07
3_TS091413210616,2601405.5817,1144078.3845,1113.6219,111.2087 g,84.4483 g,140.2345,136.0704,,14.09.2022 13:21:06
3_TS091413210544,2601405.5900,1144078.3830,1113.6240,111.2087 g,84.4483 g,140.2432,136.0788,,14.09.2022 13:21:05
3_TS091413210451,2601405.5869,1144078.3836,1113.6233,111.2087 g,84.4483 g,140.2400,136.0757,,14.09.2022 13:21:05
3_TS091413210351,2601405.5753,1144078.3856,1113.6204,111.2087 g,84.4483 g,140.2278,136.0638,,14.09.2022 13:21:04
3_TS091413210271,2601405.5615,1144078.3880,1113.6170,111.2087 g,84.4482 g,140.2134,136.0498,,14.09.2022 13:21:03
3_TS091413210194,2601405.5603,1144078.3882,1113.6167,111.2087 g,84.4482 g,140.2122,136.0487,,14.09.2022 13:21:02
3_TS091413210123,2601405.5620,1144078.3879,1113.6171,111.2087 g,84.4482 g,140.2139,136.0503,,14.09.2022 13:21:01
3_TS091413210042,2601405.5756,1144078.3855,1113.6206,111.2087 g,84.4482 g,140.2282,136.0642,,14.09.2022 13:21:00
3_TS091413205967,2601405.5829,1144078.3842,1113.6223,111.2087 g,84.4483 g,140.2358,136.0716,,14.09.2022 13:21:00
3_TS091413205891,2601405.5857,1144078.3837,1113.6231,111.2087 g,84.4482 g,140.2388,136.0745,,14.09.2022 13:20:59
3_TS091413205822,2601405.5834,1144078.3841,1113.6225,111.2087 g,84.4482 g,140.2363,136.0721,,14.09.2022 13:20:58
3_TS091413205750,2601405.5728,1144078.3860,1113.6199,111.2087 g,84.4482 g,140.2253,136.0614,,14.09.2022 13:20:58
3_TS091413205586,2601405.5637,1144078.3876,1113.6173,111.2087 g,84.4483 g,140.2157,136.0521,,14.09.2022 13:20:56
3_TS091413205512,2601405.5776,1144078.3852,1113.6209,111.2087 g,84.4483 g,140.2302,136.0662,,14.09.2022 13:20:55
